,Region,CBR,Burden sharing
0,CAN,6.292057228770878,GF
1,USA,4.606472379735194,GF
2,MEX,9.20376186350682,GF
3,RCAM,7.766264885023034,GF
4,BRA,5.82884368895852,GF
5,RSAM,6.82573145923674,GF
6,NAF,14.414066265436466,GF
7,WAF,18.71121203873929,GF
8,EAF,21.976918350925786,GF
9,SAF,7.071442385260318,GF
10,WEU,5.048707824485271,GF
11,CEU,7.412312839869164,GF
12,TUR,3.0874227231397526,GF
13,UKR,2.052057052815396,GF
14,STAN,2.177854764475341,GF
15,RUS,2.214743879979632,GF
16,ME,1.8896839862251669,GF
17,INDIA,13.900202682437357,GF
18,KOR,7.653898568966255,GF
19,CHN,2.6443360003821934,GF
20,SEAS,9.90446430537366,GF
21,INDO,11.498896460996036,GF
22,JAP,8.097777541489286,GF
23,OCE,9.5174038282254,GF
24,RSAS,8.464385469319557,GF
25,RSAF,14.557104104006154,GF
0,CAN,5.3279454706793485,IEPC
1,USA,3.5981929859327257,IEPC
2,MEX,9.60012276478526,IEPC
3,RCAM,8.38477048886115,IEPC
4,BRA,4.936921462043229,IEPC
5,RSAM,6.546517553341827,IEPC
6,NAF,16.759681322269206,IEPC
7,WAF,23.35995987162732,IEPC
8,EAF,36.93792862295217,IEPC
9,SAF,6.3071312383984965,IEPC
10,WEU,4.595543892282367,IEPC
11,CEU,6.298587044073436,IEPC
12,TUR,3.115640209346053,IEPC
13,UKR,1.7784941407200967,IEPC
14,STAN,1.985858124731802,IEPC
15,RUS,1.742216842018854,IEPC
16,ME,1.8651434419522477,IEPC
17,INDIA,16.793955804383927,IEPC
18,KOR,5.149104970732406,IEPC
19,CHN,1.8710697371517124,IEPC
20,SEAS,10.559873674123285,IEPC
21,INDO,10.536852395823455,IEPC
22,JAP,5.966548192641708,IEPC
23,OCE,8.447579944391268,IEPC
24,RSAS,11.05200248242894,IEPC
25,RSAF,16.70014024998734,IEPC
0,CAN,5.432705679968128,PCC
1,USA,3.673585072910441,PCC
2,MEX,9.532775308884432,PCC
3,RCAM,8.30733904940499,PCC
4,BRA,4.923567837702626,PCC
5,RSAM,6.5131792132174455,PCC
6,NAF,16.594612590426404,PCC
7,WAF,23.060238996269277,PCC
8,EAF,35.23756961782729,PCC
9,SAF,6.356920967290039,PCC
10,WEU,4.630249510655887,PCC
11,CEU,6.333143123692516,PCC
12,TUR,3.128686057010358,PCC
13,UKR,1.7991142843211487,PCC
14,STAN,2.0167756609341296,PCC
15,RUS,1.7914592168481775,PCC
16,ME,1.8802101110469471,PCC
17,INDIA,16.465509149869856,PCC
18,KOR,5.297437491426066,PCC
19,CHN,1.905138876943086,PCC
20,SEAS,10.506119242251104,PCC
21,INDO,10.575331313869006,PCC
22,JAP,6.043682471728533,PCC
23,OCE,8.532362967793274,PCC
24,RSAS,10.75408029536372,PCC
25,RSAF,16.646697893239466,PCC
0,CAN,5.074351159741444,AP
1,USA,3.5062660721026706,AP
2,MEX,8.75989395347751,AP
3,RCAM,7.564447888842108,AP
4,BRA,5.539874235340889,AP
5,RSAM,6.620553398753003,AP
6,NAF,16.164039879082615,AP
7,WAF,23.36457194675514,AP
8,EAF,30.202520915655903,AP
9,SAF,7.148087390848311,AP
10,WEU,4.17226854246184,AP
11,CEU,5.950253068649596,AP
12,TUR,3.0139074987740213,AP
13,UKR,2.0098990894043443,AP
14,STAN,2.256897721877191,AP
15,RUS,1.898126004589094,AP
16,ME,2.056917106896304,AP
17,INDIA,17.041476179904368,AP
18,KOR,5.0827270095703385,AP
19,CHN,1.8050815914618896,AP
20,SEAS,11.065441249980005,AP
21,INDO,10.924381013785526,AP
22,JAP,5.677033024710555,AP
23,OCE,8.096277420527462,AP
24,RSAS,11.55855348957023,AP
25,RSAF,18.20017939017417,AP
0,CAN,4.960158408330732,GDR
1,USA,3.4185561535106035,GDR
2,MEX,8.604783643941927,GDR
3,RCAM,7.144697462777141,GDR
4,BRA,6.337400899050774,GDR
5,RSAM,6.965035122024048,GDR
6,NAF,15.68542311524139,GDR
7,WAF,19.829403966622323,GDR
8,EAF,25.118722665159662,GDR
9,SAF,7.531462634239273,GDR
10,WEU,3.863196974057784,GDR
11,CEU,6.304147474004068,GDR
12,TUR,3.099198251317662,GDR
13,UKR,2.158782392714111,GDR
14,STAN,2.36720336045362,GDR
15,RUS,2.086489901976392,GDR
16,ME,2.037034103052708,GDR
17,INDIA,16.969847138287403,GDR
18,KOR,6.675298350882307,GDR
19,CHN,2.317639757742109,GDR
20,SEAS,11.106074781762992,GDR
21,INDO,11.652307089296352,GDR
22,JAP,5.45609889175508,GDR
23,OCE,7.884841021154987,GDR
24,RSAS,10.080824502530092,GDR
25,RSAF,16.032071603381898,GDR
0,CAN,6.401254773032864,none
1,USA,4.131010793560047,none
2,MEX,8.98910722321183,none
3,RCAM,8.824437580788242,none
4,BRA,3.5134456918305434,none
5,RSAM,4.879483347747442,none
6,NAF,21.258051707069004,none
7,WAF,17.727672913004024,none
8,EAF,24.86083600448791,none
9,SAF,6.314555452641444,none
10,WEU,5.808822898155034,none
11,CEU,6.938729142054874,none
12,TUR,3.7974634332363912,none
13,UKR,2.099919824689215,none
14,STAN,2.8566686693529237,none
15,RUS,2.495931302185159,none
16,ME,2.3314083195924598,none
17,INDIA,15.610746748870742,none
18,KOR,6.137112745512851,none
19,CHN,1.926612792738839,none
20,SEAS,10.825511504107183,none
21,INDO,10.835224149470958,none
22,JAP,6.426777737966579,none
23,OCE,7.778978217960751,none
24,RSAS,10.41312454172709,none
25,RSAF,18.081169229858155,none
