Region,CBR AP,CBR GF,CBR IEPC,CBR PCC
CAN,8.965879528,6.514309466,8.016087634,7.790079153
USA,5.208151956,3.744516802,4.8490554,4.718553382
MEX,9.559152394,8.784236948,8.451215751,8.504105668
RCAM,10.96570851,10.21645466,9.312765374,9.410183772
BRA,2.663018995,2.514577359,2.727126123,2.731218019
RSAM,4.001467327,3.796867369,3.889136433,3.900998752
NAF,32.01334739,40.47710627,29.05710278,29.56701059
WAF,14.84505728,16.842368,14.28374042,14.39816788
EAF,21.95768775,28.61596098,18.73523182,19.20527943
SAF,5.830843962,5.704028696,6.321997166,6.272750887
WEU,9.869074439,6.838385298,7.892551733,7.792243079
CEU,8.59500026,6.522027124,7.723710294,7.672374792
TUR,5.397849553,4.931632708,4.861306268,4.829882909
UKR,2.294918087,2.150068647,2.563156924,2.521506844
STAN,4.060217839,4.150260103,5.087620284,4.895356246
RUS,3.807476172,2.858902079,4.399031941,4.113534564
ME,2.826263961,3.042643459,3.108497799,3.06753043
INDIA,14.98014773,17.80136349,14.58328902,14.84035009
KOR,8.050319919,5.122064663,7.59430416,7.293114665
CHN,2.229038429,1.515324761,1.985554345,1.948576317
SEAS,11.0225876,11.93542402,11.10485865,11.16493207
INDO,11.18857565,10.24398077,11.15098632,11.10821275
JAP,7.618931515,5.327444223,6.963941165,6.861726982
OCE,7.724571182,6.577540774,7.208450068,7.147842876
RSAS,9.901294947,13.52754503,9.844072826,10.09312425
RSAF,18.66971794,23.85647901,19.71119974,19.78617401
