,Region,value,Burden sharing
0,CAN,0.007904133243754318,GF
1,USA,-0.5963342700437074,GF
2,MEX,-0.020621503538008713,GF
3,RCAM,0.11948114378315555,GF
4,BRA,-0.9182805609967789,GF
5,RSAM,-0.7950261792481376,GF
6,NAF,0.44043628319251116,GF
7,WAF,-0.2923394678821211,GF
8,EAF,0.23994751681948037,GF
9,SAF,-0.08207829483394982,GF
10,WEU,0.4757630459081051,GF
11,CEU,-0.032227418730894075,GF
12,TUR,0.1489068935299002,GF
13,UKR,0.017613688383658975,GF
14,STAN,0.15617782683373932,GF
15,RUS,0.25577531070621584,GF
16,ME,0.764071011948309,GF
17,INDIA,1.4418467209032901,GF
18,KOR,-0.09188550296622097,GF
19,CHN,-2.248847098642536,GF
20,SEAS,0.29591638889465777,GF
21,INDO,-0.10041578195744379,GF
22,JAP,-0.18791086513144048,GF
23,OCE,-0.10803639917102957,GF
24,RSAS,0.7587832976507239,GF
25,RSAF,0.3513800813447632,GF
0,CAN,0.1388511529989152,IEPC
1,USA,0.9975868505263187,IEPC
2,MEX,-0.06842208826787,IEPC
3,RCAM,0.03050186462296937,IEPC
4,BRA,-0.6593926598935557,IEPC
5,RSAM,-0.7005633513797247,IEPC
6,NAF,0.1966991395628464,IEPC
7,WAF,-1.6438201432924133,IEPC
8,EAF,-0.9091678743423356,IEPC
9,SAF,0.0192293477375611,IEPC
10,WEU,0.9425616035902266,IEPC
11,CEU,0.0927490334825922,IEPC
12,TUR,0.1389177468247553,IEPC
13,UKR,0.1032275177923582,IEPC
14,STAN,0.2246163707530397,IEPC
15,RUS,0.8096917767198559,IEPC
16,ME,0.8541866245388199,IEPC
17,INDIA,-0.9318113162524053,IEPC
18,KOR,0.1377748572873839,IEPC
19,CHN,0.5401896909949816,IEPC
20,SEAS,0.038431788462151895,IEPC
21,INDO,0.0688883453612171,IEPC
22,JAP,0.08894943562642461,IEPC
23,OCE,-0.031464949130539696,IEPC
24,RSAS,-0.5200067439417917,IEPC
25,RSAF,0.0415959796182127,IEPC
0,CAN,0.12025357380539899,PCC
1,USA,0.8296070847784843,PCC
2,MEX,-0.059366563772739495,PCC
3,RCAM,0.04221530220604057,PCC
4,BRA,-0.6527401248491377,PCC
5,RSAM,-0.6852389232373255,PCC
6,NAF,0.2136468004278302,PCC
7,WAF,-1.5476055433104454,PCC
8,EAF,-0.8063111909762831,PCC
9,SAF,0.010548593138646301,PCC
10,WEU,0.8975679499115558,PCC
11,CEU,0.0869210167608108,PCC
12,TUR,0.13485461391512094,PCC
13,UKR,0.0941930796148112,PCC
14,STAN,0.210024386576955,PCC
15,RUS,0.7256445294806606,PCC
16,ME,0.8075324852090867,PCC
17,INDIA,-0.6802623845354074,PCC
18,KOR,0.11388119338234881,PCC
19,CHN,0.32548335663409145,PCC
20,SEAS,0.059066819768734,PCC
21,INDO,0.0588606127914509,PCC
22,JAP,0.0725897553061591,PCC
23,OCE,-0.0388741921613706,PCC
24,RSAS,-0.3830778811207841,PCC
25,RSAF,0.050585650255301796,PCC
0,CAN,0.1624081706320899,AP
1,USA,1.2252819577332117,AP
2,MEX,0.0056707473594411984,AP
3,RCAM,0.0915505354403579,AP
4,BRA,-0.900931065632885,AP
5,RSAM,-0.7934792939355072,AP
6,NAF,0.2638454165643719,AP
7,WAF,-1.4548672984665116,AP
8,EAF,-0.3664125022563648,AP
9,SAF,-0.1049600237452366,AP
10,WEU,1.3665943018134175,AP
11,CEU,0.12640828818696662,AP
12,TUR,0.1523641309990743,AP
13,UKR,0.01367259875317458,AP
14,STAN,0.1279839469144425,AP
15,RUS,0.5535704616514834,AP
16,ME,0.4088471786546615,AP
17,INDIA,-1.0965373949912225,AP
18,KOR,0.1336960790902347,AP
19,CHN,0.7392766358544948,AP
20,SEAS,-0.1330821146706732,AP
21,INDO,-0.07385858409725371,AP
22,JAP,0.1267448556678712,AP
23,OCE,-0.015594079585643532,AP
24,RSAS,-0.43456766933606,AP
25,RSAF,-0.12362527859793979,AP
0,CAN,0.47434727533038085,GDR
1,USA,5.599819814474749,GDR
2,MEX,-0.042067392079082194,GDR
3,RCAM,-0.0816701348016054,GDR
4,BRA,-1.2028995652774055,GDR
5,RSAM,-1.2353709617011053,GDR
6,NAF,0.018339937658771805,GDR
7,WAF,-2.2931781195157557,GDR
8,EAF,-0.6046677946471297,GDR
9,SAF,-0.2066285938874543,GDR
10,WEU,4.400803352041977,GDR
11,CEU,0.3173402907527315,GDR
12,TUR,0.17734598818084532,GDR
13,UKR,-0.1048939586500916,GDR
14,STAN,0.0238982725594604,GDR
15,RUS,0.5352859380126535,GDR
16,ME,0.07674951534740661,GDR
17,INDIA,-3.4859535534892614,GDR
18,KOR,-0.18153405116960897,GDR
19,CHN,-0.7446843493635233,GDR
20,SEAS,-0.6891729196366547,GDR
21,INDO,-0.6607768772168771,GDR
22,JAP,1.121519056833112,GDR
23,OCE,0.234185493732632,GDR
24,RSAS,-0.9889874199609947,GDR
25,RSAF,-0.45714924352816727,GDR
