,0
BRA,0.8714489439301396
CAN,0.7927199199647128
CEU,0.8285431697691573
CHN,7.409692257260942
EAF,0.559825077327955
INDIA,4.270086916932948
INDO,0.9586414679021024
JAP,1.6135347710785275
KOR,0.32951945753499146
ME,2.3354336589037055
MEX,0.6539664021494774
NAF,0.6305279854971505
OCE,0.6208681552996149
RCAM,0.4880149265007913
RSAF,0.6416904063641966
RSAM,1.1637666211936009
RSAS,1.180414695677081
RUS,1.6854451541440432
SAF,0.46497869764601235
SEAS,1.5027413376264698
STAN,0.3751488926472452
TUR,0.5701465348332554
UKR,0.29108023352719714
USA,8.335099104209444
WAF,1.6147408255873827
WEU,5.857391432977796
