,Region,0,Burden sharing
0,CAN,4.842879573166704,GF
1,USA,51.06097557032086,GF
2,MEX,5.423189791793994,GF
3,RCAM,2.8620660289140876,GF
4,BRA,14.932851799632035,GF
5,RSAM,13.096810513147924,GF
6,NAF,5.521547455968111,GF
7,WAF,17.200758017744942,GF
8,EAF,2.6840187769615578,GF
9,SAF,4.800980533548358,GF
10,WEU,29.646836496693755,GF
11,CEU,7.43062333139383,GF
12,TUR,4.125370352915214,GF
13,UKR,3.8232068993277606,GF
14,STAN,4.5926213238782605,GF
15,RUS,17.78011211278401,GF
16,ME,18.992495755784894,GF
17,INDIA,26.290464039241098,GF
18,KOR,7.427205899558716,GF
19,CHN,107.8365408957281,GF
20,SEAS,14.333996570021387,GF
21,INDO,15.47841023912716,GF
22,JAP,10.078299945432919,GF
23,OCE,3.6767779917776897,GF
24,RSAS,3.94797629430513,GF
25,RSAF,7.445722510831531,GF
0,CAN,2.2174894786684454,IEPC
1,USA,19.397684277291066,IEPC
2,MEX,6.433919771240717,IEPC
3,RCAM,4.6754190162852245,IEPC
4,BRA,9.559682287315562,IEPC
5,RSAM,11.13942308332253,IEPC
6,NAF,10.396935945172574,IEPC
7,WAF,45.557132085491496,IEPC
8,EAF,26.20052803319249,IEPC
9,SAF,2.729859519324328,IEPC
10,WEU,20.64524590980251,IEPC
11,CEU,4.989775259366579,IEPC
12,TUR,4.310910108835787,IEPC
13,UKR,2.157308232126931,IEPC
14,STAN,3.214710245006971,IEPC
15,RUS,6.756154568466015,IEPC
16,ME,17.042198465945688,IEPC
17,INDIA,72.24495308723999,IEPC
18,KOR,2.790415422928165,IEPC
19,CHN,51.3570906490828,IEPC
20,SEAS,19.381880782603396,IEPC
21,INDO,11.850712432791303,IEPC
22,JAP,4.552155361763478,IEPC
23,OCE,2.1280379525209874,IEPC
24,RSAS,29.665116845739412,IEPC
25,RSAF,13.937999898475557,IEPC
0,CAN,2.9736235453085063,PCC
1,USA,27.348964988962013,PCC
2,MEX,6.092903385351069,PCC
3,RCAM,4.154384929352546,PCC
4,BRA,10.051707774787667,PCC
5,RSAM,11.11663849379,PCC
6,NAF,9.38990896766216,PCC
7,WAF,42.178736955509045,PCC
8,EAF,22.145669459623935,PCC
9,SAF,3.168617968709122,PCC
10,WEU,22.527161045891724,PCC
11,CEU,5.218115035862954,PCC
12,TUR,4.329987257129008,PCC
13,UKR,2.456127642622757,PCC
14,STAN,3.6285204377410105,PCC
15,RUS,9.676141107440376,PCC
16,ME,18.59646332047823,PCC
17,INDIA,60.73257709224332,PCC
18,KOR,3.7445931650014948,PCC
19,CHN,60.21967634516225,PCC
20,SEAS,18.029617009681854,PCC
21,INDO,12.284081849957861,PCC
22,JAP,5.377871412405259,PCC
23,OCE,2.540983733689189,PCC
24,RSAS,23.869187959875433,PCC
25,RSAF,13.480477835761235,PCC
0,CAN,1.991564963204379,AP
1,USA,21.634801368682325,AP
2,MEX,4.404510754551378,AP
3,RCAM,2.2150136498314286,AP
4,BRA,13.564159905739817,AP
5,RSAM,11.86174636720312,AP
6,NAF,8.657634321652813,AP
7,WAF,44.837506023075676,AP
8,EAF,16.969835193556822,AP
9,SAF,4.934907516185142,AP
10,WEU,12.804407582296957,AP
11,CEU,4.179156118686215,AP
12,TUR,3.7808455611079115,AP
13,UKR,3.6018406406485526,AP
14,STAN,5.021846536567835,AP
15,RUS,12.022282093383078,AP
16,ME,25.50889741223986,AP
17,INDIA,65.82097017932632,AP
18,KOR,3.2570505720308573,AP
19,CHN,51.81546487022496,AP
20,SEAS,21.019243403651206,AP
21,INDO,13.578300449006184,AP
22,JAP,4.07286494266809,AP
23,OCE,1.9530621866917732,AP
24,RSAS,28.735374971194034,AP
25,RSAF,17.08945113659329,AP
0,CAN,2.3499029007606262,GDR
1,USA,28.741656996867242,GDR
2,MEX,3.779576304662623,GDR
3,RCAM,0.19541131133271994,GDR
4,BRA,17.22780056851679,GDR
5,RSAM,13.226560374110418,GDR
6,NAF,6.998141744649599,GDR
7,WAF,19.584127304790997,GDR
8,EAF,6.960102745613245,GDR
9,SAF,5.547008082948458,GDR
10,WEU,10.401688691949175,GDR
11,CEU,5.770345794257958,GDR
12,TUR,4.299354335506172,GDR
13,UKR,4.138238046369977,GDR
14,STAN,5.474469928917766,GDR
15,RUS,16.577664323523674,GDR
16,ME,23.592962897130434,GDR
17,INDIA,57.59259270098946,GDR
18,KOR,6.319547315493218,GDR
19,CHN,99.50933248366935,GDR
20,SEAS,19.781924524047426,GDR
21,INDO,15.091166392305603,GDR
22,JAP,5.520841159419046,GDR
23,OCE,2.1745686093907324,GDR
24,RSAS,14.65495555917063,GDR
25,RSAF,9.822797623606675,GDR
0,CAN,5.041944000000001,none
1,USA,40.38002099999999,none
2,MEX,4.955572599999998,none
3,RCAM,5.149981,none
4,BRA,-1.8379832000000005,none
5,RSAM,-2.4544008999999987,none
6,NAF,14.764991,none
7,WAF,9.968160799999998,none
8,EAF,8.771994000000001,none
9,SAF,3.0901319099999993,none
10,WEU,39.56463999999999,none
11,CEU,6.494572000000001,none
12,TUR,6.629825999999998,none
13,UKR,4.027529400000001,none
14,STAN,7.483285,none
15,RUS,21.533898000000004,none
16,ME,34.307530000000014,none
17,INDIA,49.76194000000001,none
18,KOR,5.4029928,none
19,CHN,63.048930999999996,none
20,SEAS,19.671986999999998,none
21,INDO,13.24911,none
22,JAP,6.5103642,none
23,OCE,1.55020811,none
24,RSAS,21.344485000000006,none
25,RSAF,16.921028,none
